"title","description","faciliator_array","faciliators","location","pathways","schedule-block","space","start","end"
"","","","","","","","","",""
"Wikipédia, les bibliothèques publiques et Montréal","","","","","","","","",""
"Wikitext: upcoming changes, available tools, what you can do","","","","","","","","",""
"Birth of Bias: implicit bias’ permanence on Wikipedia","","","","","","","","",""
"Speaking the Language of the Non-Wikipedians","","","","","","","","",""
"Readership metrics: Trends and stories from our global traffic data","","","","","","","","",""
"The (Wiki)Data (R)Evolution","","","","","","","","",""
"Wikiversities: get over the content, serve the flow","","","","","","","","",""
"Création d'une communauté numérique locale. Prototypage d'un atelier contributif en bibliothèque","","","","","","","","",""
"Editing in the year to come – what the Foundation's Annual Plan means for editing tools","","","","","","","","",""
"Centering Knowledge From The Margins","","","","","","","","",""
"How to develop an education program from scratch","","","","","","","","",""
"Why We Read Wikipedia","","","","","","","","",""
"Modelling and Ingesting Performing Arts Related Data into Wikidata","","","","","","","","",""
"Building a Better Dispute Resolution System","","","","","","","","",""
"Distinguer les cultures éditoriales pour promouvoir Wikipédia à l’université","","","","","","","","",""
"The Wikipedia Year of Science 2016: What worked, what didn't, and how you can pull off a large-scale content initiative","","","","","","","","",""
"The Sum of all paintings is just the start","","","","","","","","",""
"Sciences, histoire et projets Wiki, le mariage unique québécois","","","","","","","","",""
"Free knowledge for complete beginners: introducing Wikipedia to new readers","","","","","","","","",""
"The Internet Archive and Wikimedia - Common Knowledge Goals","","","","","","","","",""
"Possible strategies of increasing involvement of scientists and academics in Wikimedia projects","","","","","","","","",""
"Legal Advocacy for the Projects and the Movement","","","","","","","","",""
"Legal Advocacy for the Projects and the Movement","","","","","","","","",""
"From Mexico City to Montréal: The Code of Conduct and You","","","","","","","","",""
"The WikiMOOC, a new way to learn how to edit Wikipedia","","","","","","","","",""
"Student Learning Outcomes using Wikipedia based assignments","","","","","","","","",""
"New Wikimedian Order - How to represent Wikimedia's values in international organisations?","","","","","","","","",""
"How does a toxic environment affect community health, and which way forward?","","","","","","","","",""
"How to create a good school project on Wikipedia","","","","","","","","",""
"How to create a good school project on Wikipedia","","","","","","","","",""
"Constitutional Court meets Wikipedia","","","","","","","","",""
"Constitutional Court meets Wikipedia","","","","","","","","",""
"Constitutional Court meets Wikipedia","","","","","","","","",""
"State of Wikimedia Research 2016-2017","","","","","","","","",""
"Wiki Loves Women","","","","","","","","",""
"Lightning talks 1","","","","","","","","",""
"Growing a User Group, a roadmap for survival","","","","","","","","",""
"Hackathon goes Hogwarts: Creating learning environments at tech events","","","","","","","","",""
"Bringing all the voices to the conversation: what the Wikimedia movement has learned from lower awareness regions","","","","","","","","",""
"Other-a-thon: Roundtable on alternative models for public outreach events","","","","","","","","",""
